setting,Accuracy,Precision,Recall,F-score,adjAccuracy,adjPrecision,adjRecall,adjF-score
anomaly_detection_mse_UCRA_018_UCR_Anomaly_DISTORTEDECG4_8000_17000_17100.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-15-20,0.95419455,0.0011273957158962795,0.01,0.0020263426,0.95879835,0.10141988,1.0,0.18416207
anomaly_detection_mse_UCRA_019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1_5000_6168_6212.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-16-07,0.8784722,0.0012531328320802004,0.022727273,0.002375297,0.88469326,0.05231867,1.0,0.09943503
anomaly_detection_mse_UCRA_020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2_5000_7175_7388.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-16-48,0.9684606,0.3333333333333333,0.02347418,0.04385965,0.9985532,0.9551569,1.0,0.9770642
anomaly_detection_mse_UCRA_021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3_5000_5948_5993.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-17-28,0.8981481,0.0015128593040847202,0.022222223,0.0028328612,0.9045139,0.06382979,1.0,0.12
anomaly_detection_mse_UCRA_022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4_4000_6527_6645.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-18-09,0.98046875,0.05555555555555555,0.016949153,0.025974026,0.9955729,0.7763158,1.0,0.8740741
anomaly_detection_mse_UCRA_023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5_5000_8612_8716.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-18-47,0.98480904,0.45454545454545453,0.048076924,0.08695652,0.9991319,0.94545454,1.0,0.97196263
anomaly_detection_mse_UCRA_024_UCR_Anomaly_DISTORTEDInternalBleeding10_3200_4526_4556.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-19-27,0.4924479,0.0031071983428275505,0.2,0.0061193267,0.4986979,0.015345269,1.0,0.0302267
anomaly_detection_mse_UCRA_025_UCR_Anomaly_DISTORTEDInternalBleeding14_2800_5607_5634.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-20-03,0.67317706,0.0006752194463200541,0.037037037,0.0013262599,0.6788194,0.01791639,1.0,0.035202086
anomaly_detection_mse_UCRA_026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-20-41,0.9640997,0.04,0.005882353,0.010256411,0.99553573,0.87628865,1.0,0.93406594
anomaly_detection_mse_UCRA_027_UCR_Anomaly_DISTORTEDInternalBleeding16_1200_4187_4199.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-21-15,0.47688803,0.00031210986267166043,0.083333336,0.00062189053,0.47867838,0.0037325039,1.0,0.0074372482
